Leader,Follower,Time,Colony,ColonySize,Date
BX-,B-X,12.42,DI-316,122,4.9.2013
BX-,XO-,12.44,DI-316,122,4.9.2013
BX-,WX-,12.45,DI-316,122,4.9.2013
YY-, --Y,12.49,DI-316,122,4.9.2013
OO-, -Y-,12.49,DI-316,122,4.9.2013
 -BB,YX-,12.49,DI-316,122,4.9.2013
YY-, -Y-,12.49,DI-316,122,4.9.2013
BX-,O-O,12.5,DI-316,122,4.9.2013
OO-,XGG,12.5,DI-316,122,4.9.2013
YY-,WX-,12.5,DI-316,122,4.9.2013
 -BB, -XG,12.5,DI-316,122,4.9.2013
 --G,X-B,12.5,DI-316,122,4.9.2013
O-O,WXX,12.51,DI-316,122,4.9.2013
O-O, -XY,12.51,DI-316,122,4.9.2013
WW-,WWW,12.52,DI-316,122,4.9.2013
 -BB,XGX,12.52,DI-316,122,4.9.2013
XXS,XOX,12.53,DI-316,122,4.9.2013
OO-,SXS,12.53,DI-316,122,4.9.2013
 -XO,XX-,12.54,DI-316,122,4.9.2013
BB-,WX-,12.54,DI-316,122,4.9.2013
 -BB, --G,12.54,DI-316,122,4.9.2013
YY-, -OO,12.55,DI-316,122,4.9.2013
O-O,XBX,12.55,DI-316,122,4.9.2013
 -BB, -X-,12.55,DI-316,122,4.9.2013
WW-,SXX,12.56,DI-316,122,4.9.2013
G--, -XG,12.56,DI-316,122,4.9.2013
W--,X-W,12.56,DI-316,122,4.9.2013
XXB,BBB,12.56,DI-316,122,4.9.2013
Y--, --O,12.56,DI-316,122,4.9.2013
 -XS,XW-,12.56,DI-316,122,4.9.2013
OO-,XY-,12.57,DI-316,122,4.9.2013
 -GG,BBX,12.57,DI-316,122,4.9.2013
 --W,XSS,12.57,DI-316,122,4.9.2013
WW-,XXY,12.57,DI-316,122,4.9.2013
SX-, -XY,12.57,DI-316,122,4.9.2013
XXB, --R,12.57,DI-316,122,4.9.2013
G--, -S-,12.57,DI-316,122,4.9.2013
 --Y,XWX,12.58,DI-316,122,4.9.2013
WWW,GGX,12.58,DI-316,122,4.9.2013
OOO, -SS,12.58,DI-316,122,4.9.2013
