Time,Leader_ID,Follower_ID,Direction,Item
5768,25,23,In,
5948,30,119,In,
6190,30,51,In,
6337,22,53,In,
6461,25,16,In,
6498,22,14,In,
6511,23,10,In,
6634,30,80,In,
6677,36,110,In,
6680,56,61,In,
6681,23,69,In,
6775,23,13,In,
6819,50,70,In,
6997,23,120,In,
7007,25,115,In,
7011,22,42,In,
7017,36,34,In,
7104,30,12,In,
7145,25,2,In,
7158,11,7,In,
7294,25,28,In,
7333,30,47,In,
7413,50,20,In,
7428,25,46,In,
7510,11,84,In,
7554,30,59,In,
7596,25,111,In,
7789,36,90,In,
7821,11,55,In,
7845,82,41,In,
7845,23,5,In,
7849,22,54,In,
7958,36,123,In,
7967,13,15,In,
8090,36,48,In,
8144,22,101,In,
8209,82,29,In,
8292,13,91,In,
8305,36,125,In,
8344,30,129,In,
8424,1,71,In,
8430,36,83,In,
8475,50,89,In,
8563,36,72,In,
8620,11,98,In,
8698,1,92,In,
8823,22,9,In,
8842,13,122,In,
8852,15,78,In,
8920,85,114,In,
8925,36,75,In,
9019,22,113,In,
9021,36,117,In,
9048,85,108,In,
9063,25,116,In,
9099,63,107,In,Brood
9160,1,104,In,Brood
9185,6,77,In,
9194,88,37,In,
9198,56,4,In,Brood
9211,1,97,In,Brood
9280,36,60,In,
9321,85,17,In,
9361,38,112,In,
9382,85,95,In,Brood
9392,25,118,In,
9496,9,105,In,
9560,22,81,In,Brood
9610,11,32,In,
9633,30,66,In,
9641,22,109,In,
9659,1,76,In,
9672,36,74,In,
9698,38,86,In,
9733,82,39,In,
9754,56,0,In,
9774,22,45,In,
9791,36,126,In,
9793,85,73,In,
9811,1,99,In,
9833,9,124,In,
9879,36,106,In,
9881,88,62,In,
9904,15,68,In,Brood
9969,11,49,In,Brood
9991,8,40,In,
10024,44,127,In,
10033,22,27,In,
10060,9,79,In,
10115,36,64,In,
10152,88,102,In,
10185,6,65,In,
10206,56,31,In,
10225,9,96,In,
10233,22,87,In,
10295,11,121,In,
10300,88,100,In,
10351,15,52,In,
10359,56,94,In,
10384,30,3,In,
10394,82,58,In,
10474,38,43,In,
10509,15,21,In,
10521,23,67,In,
10651,22,35,In,
10737,82,128,In,
11052,38,57,In,
11631,19,18,In,
