eve,Time,Leader_ID,Follower_ID,Direction,ind
17,3444,20,71,In,1
20,3547,20,106,In,2
26,3668,44,99,In,3
29,3692,20,14,In,4
38,3783,44,95,In,5
40,3823,20,77,In,6
61,3934,20,66,In,7
66,3966,44,114,In,8
69,3981,14,110,In,9
76,4029,34,101,In,10
80,4064,20,24,In,11
82,4087,57,92,In,12
85,4101,44,80,In,13
89,4143,14,47,In,14
95,4160,69,78,In,15
101,4193,57,2,In,16
105,4202,20,102,In,17
115,4220,34,91,In,18
121,4260,14,38,In,19
146,4353,69,0,In,20
157,4391,69,19,In,21
163,4408,66,115,In,22
169,4426,34,52,In,23
188,4484,15,107,In,24
197,4529,20,89,In,25
206,4589,34,7,In,26
216,4628,42,88,In,27
223,4659,20,49,In,28
229,4686,57,27,In,29
236,4722,83,84,In,30
245,4758,69,62,In,31
259,4786,20,6,In,32
269,4831,33,58,In,33
271,4838,34,43,In,34
289,4892,34,16,In,35
301,4961,15,104,In,36
306,4973,15,1,In,37
325,5026,57,68,In,38
326,5026,9,54,In,39
330,5033,33,90,In,40
335,5046,69,12,In,41
371,5169,26,21,In,42
408,5309,81,110,In,43
409,5314,34,11,In,44
418,5362,57,23,In,45
425,5393,20,86,In,46
427,5401,47,76,In,47
435,5423,69,94,In,48
440,5443,34,18,In,49
461,5504,34,39,In,50
463,5513,20,90,In,51
466,5518,69,55,In,52
476,5535,57,60,In,53
495,5641,21,56,In,54
496,5648,57,45,In,55
498,5650,62,48,In,56
505,5673,43,30,In,57
519,5701,20,10,In,58
524,5717,83,50,In,59
526,5729,69,102,In,60
537,5784,12,98,In,61
544,5819,14,22,In,62
551,5843,62,108,In,63
556,5870,43,3,In,64
590,6029,14,72,In,65
595,6043,83,112,In,66
596,6053,21,109,In,67
597,6067,15,59,In,68
606,6106,47,103,In,69
617,6157,14,64,In,70
639,6261,69,88,In,71
692,6618,14,51,In,72
745,6853,83,74,In,73
749,6873,47,31,In,74
762,6998,21,61,In,75
768,7046,64,18,In,76
836,7563,49,82,In,77
843,7596,34,105,In,78
845,7623,18,61,In,79
865,7885,14,35,In,80
916,8220,34,46,In,81
952,8543,49,25,In,82
