"","Time","Leader_ID","Follower_ID","Direction","Item"
"3",3378,20,41,"In",""
"4",3483,20,39,"In",""
"5",3531,31,122,"In",""
"6",3624,20,33,"In",""
"7",3763,39,57,"In",""
"8",3799,25,86,"In",""
"9",3843,20,22,"In",""
"10",3854,28,102,"In",""
"11",3877,20,53,"In",""
"12",3878,41,123,"In",""
"13",3939,6,71,"In",""
"14",3945,31,10,"In",""
"15",4023,28,45,"In",""
"16",4041,39,127,"In",""
"17",4047,41,70,"In",""
"18",4080,25,26,"In",""
"19",4114,20,76,"In",""
"20",4120,6,44,"In",""
"21",4150,93,64,"In",""
"22",4203,6,60,"In",""
"23",4210,39,40,"In",""
"24",4240,18,23,"In",""
"25",4269,25,69,"In",""
"27",4298,39,55,"In",""
"28",4310,12,75,"In",""
"29",4332,41,121,"In",""
"30",4344,31,97,"In",""
"31",4377,57,14,"In",""
"34",4449,67,1,"In",""
"35",4474,20,21,"In",""
"36",4511,26,112,"In",""
"38",4599,78,120,"",""
"39",4600,41,89,"In",""
"41",4601,46,62,"In",""
"42",4635,60,5,"In",""
"44",4673,6,82,"In",""
"47",4746,57,104,"In",""
"49",4763,12,94,"In",""
"51",4790,18,107,"In",""
"52",4811,6,8,"In",""
"55",4883,67,87,"In","Larvae"
"56",4893,27,50,"In",""
"57",4914,39,109,"In",""
"61",5005,31,110,"In",""
"64",5026,41,73,"In",""
"65",5037,67,124,"In",""
"66",5073,35,3,"In",""
"67",5076,78,0,"In",""
"69",5111,28,15,"In",""
"72",5152,18,115,"In",""
"73",5157,26,106,"In",""
"74",5180,78,32,"In",""
"76",5188,12,63,"In",""
"77",5254,31,43,"In",""
"78",5294,41,98,"In",""
"79",5298,24,7,"In",""
"80",5308,18,126,"In",""
"81",5314,6,80,"In",""
"82",5317,20,56,"In",""
"83",5336,27,90,"In",""
"84",5340,26,79,"In",""
"85",5353,35,119,"In",""
"86",5377,39,72,"In",""
"87",5420,6,125,"In",""
"88",5428,38,88,"In",""
"89",5428,55,65,"In",""
"90",5430,78,105,"In",""
"92",5464,93,113,"In",""
"93",5488,12,91,"In",""
"94",5507,58,61,"In",""
"95",5528,20,13,"In",""
"96",5533,67,29,"In",""
"97",5543,41,68,"In",""
"99",5639,20,54,"In",""
"101",5652,39,11,"In",""
"102",5670,93,49,"In",""
"104",5713,41,114,"In",""
"107",5786,58,47,"In",""
"109",5963,93,111,"In",""
"112",6061,57,59,"In",""
"113",6130,20,84,"In",""
"114",6141,26,96,"In",""
"121",6330,20,81,"In",""
"127",6562,20,116,"In",""
"133",6647,12,101,"In",""
"149",6976,12,118,"In",""
"161",7252,6,51,"In",""
"166",7408,93,4,"In",""
"170",7690,59,83,"In",""
"171",8183,2,100,"In",""
"172",8337,93,52,"In",""
