"","Time","Leader_ID","Follower_ID","Direction","Item"
"4",5952,71,17,"In",""
"5",6305,71,15,"In",""
"6",6613,71,10,"In",""
"8",6959,71,108,"In",""
"10",7007,19,24,"In",""
"11",7044,5,111,"In",""
"12",7198,9,28,"In",""
"13",7220,5,74,"In",""
"14",7354,9,69,"In",""
"15",7430,9,28,"Out",""
"16",7442,9,28,"In",""
"17",7456,9,69,"Out",""
"18",7461,9,69,"In",""
"19",7466,12,74,"Out",""
"21",7652,12,108,"Out",""
"22",7704,19,46,"In",""
"24",7755,12,69,"Out",""
"25",7815,30,108,"In",""
"26",7824,9,73,"In",""
"27",7897,12,28,"Out",""
"30",8028,39,10,"Out",""
"31",8032,39,10,"In",""
"32",8047,12,108,"Out",""
"35",8250,19,100,"In",""
"36",8251,12,10,"Out",""
"38",8300,71,101,"In",""
"39",8305,9,65,"In",""
"42",8480,12,65,"Out",""
"44",8540,19,92,"In",""
"47",8743,26,29,"In",""
"48",8753,12,19,"Out",""
"49",8849,12,111,"Out",""
"50",8859,9,19,"In",""
"51",8864,71,11,"In",""
"52",8951,12,71,"Out",""
"53",9030,19,16,"In",""
"54",9061,12,5,"Out",""
"55",9084,30,94,"In",""
"56",9106,26,54,"In",""
"57",9139,75,93,"In",""
"58",9312,12,16,"Out",""
"60",9429,30,10,"In",""
"63",9610,7,65,"In",""
"64",9634,12,19,"Out",""
"65",9873,12,10,"Out",""
"66",9900,12,59,"Out",""
"67",10134,12,93,"Out",""
"68",10547,12,92,"Out",""
"69",10659,7,5,"In",""
"70",10672,12,11,"Out",""
"71",10709,24,50,"In",""
"72",10729,30,93,"In",""
"73",10802,1,57,"In",""
"74",10840,12,43,"Out",""
"75",10890,9,92,"In",""
"77",10921,30,96,"In",""
"78",11004,24,43,"In",""
"79",11319,9,97,"In",""
"80",11271,1,10,"In",""
"82",11411,24,59,"In",""
"84",11682,1,56,"In",""
"86",11839,9,0,"In",""
"88",12039,24,40,"In",""
"89",12062,75,37,"In",""
"94",12358,42,22,"In",""
"97",12440,7,66,"In",""
"98",12460,1,20,"In",""
"100",12553,42,36,"In",""
"101",12581,9,48,"In",""
"102",12584,7,84,"In",""
"104",12620,30,89,"In",""
"107",12706,1,35,"In",""
"108",12746,75,12,"In",""
"109",12752,42,110,"In",""
"111",12795,7,45,"In",""
"112",12801,24,67,"In",""
"115",12854,24,16,"In",""
"117",12909,1,70,"In",""
"119",12948,1,70,"Out",""
"120",12958,1,70,"In",""
"121",12972,7,90,"In",""
"123",13004,50,64,"In",""
"130",13235,75,88,"In",""
"132",13327,7,81,"In",""
"133",13334,42,33,"In",""
"134",13359,1,6,"In",""
"139",13492,75,58,"In",""
"140",13534,5,27,"In","Brood"
"144",13748,1,34,"In",""
"146",13818,75,108,"In",""
"149",13875,9,106,"In",""
"150",13883,71,98,"In",""
"151",13895,5,69,"In",""
"153",14022,42,62,"In",""
"155",14050,9,8,"In",""
"158",14163,9,49,"In",""
"159",14166,7,111,"In",""
"162",14259,9,95,"In",""
"164",14288,75,32,"In","Something having but undetect"
"165",14388,5,105,"In","Brood"
"166",14484,5,82,"In",""
"167",14487,75,28,"In",""
"168",14503,9,70,"In",""
"169",14542,7,61,"In",""
"170",14602,12,74,"In",""
"171",14620,9,4,"In",""
"172",14676,7,109,"In",""
"173",14677,50,85,"In",""
"174",14767,9,3,"In",""
"175",14941,12,107,"In",""
"176",14962,6,60,"In",""
"178",15068,12,99,"In",""
"179",15070,7,102,"In",""
"182",15173,12,104,"In",""
"184",15325,45,11,"In",""
"185",15405,5,91,"In",""
"188",15663,50,44,"In",""
"189",15685,45,76,"In",""
"191",15821,12,55,"In",""
"193",16057,7,25,"In",""
"194",16097,45,83,"In",""
"196",16294,7,87,"In",""
"197",16399,9,14,"In",""
"198",16461,18,77,"In",""
"199",16661,7,86,"In",""
"200",16729,9,68,"In",""
"201",16844,75,13,"In",""
"203",17128,9,80,"In",""
"205",17632,9,51,"In",""
"206",18324,7,72,"In",""
"207",19060,39,22,"In",""
