SET,Treatment,Colony,Emigration,Leader,Follower,Time_Start,Time_Stop,Leaves_From,Arrives_at,Target,Success_or_Fail_or_Switch,BREAK_UP,X,Y,Nth_Tandem,Leader_Consist_Lead,Follower_Consist_Foll
1,Control,1_1,1,BPWW,BPRR,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,4
1,Control,1_1,1,BPWW,RWBW,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,4
1,Control,1_1,1,BPWW,RWGP,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,4
1,Control,1_1,1,BPWW,WWPG,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,3
1,Control,1_1,1,BPWW,YPGW,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,4
1,Control,1_1,1,RWGP,BWRY,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2,3
1,Control,1_1,1,BPWW,BPRR,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,3,4
1,Control,1_1,1,BPWW,RYGG,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,3,3
1,Control,1_1,1,BPWW,WRYP,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,3,4
1,Control,1_1,1,RWGP,BPBB,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,2,2
1,Control,1_1,1,BWRY,PWRP,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,4,4
1,Control,1_1,1,PBPR,BPRR,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,4,4
1,Control,1_1,1,SAME,GGRP,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,4,4
1,Control,1_1,1,RYGG,PGRR,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,4,4
1,Control,1_1,1,BPWW,YPGW,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,3,4
1,Control,1_1,1,BWRY,WWPG,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,4,3
1,Control,1_1,1,RWGP,RWBW,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,2,4
1,Control,1_1,1,RYGG,GGRP,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,4,4
1,Control,1_1,1,SAME,BPBB,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,4,2
1,Control,1_1,1,WRYP,BPRR,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,1,4
1,Control,1_1,1,BPBB,BWRY,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,4,3
1,Control,1_1,1,RWGP,RWBW,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,2,4
1,Control,1_1,1,BPBB,RWGP,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,4,4
1,Control,1_1,1,BPBB,YPGW,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,4,4
1,Control,1_1,1,BPRR,RGBP,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,1,2
1,Control,1_1,1,WWPG,PGRR,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,1,4
1,Control,1_1,1,SAME,GGRP,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,4,4
1,Control,1_1,1,BPBB,RBYY,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,4,4
1,Control,1_1,1,RWGP,RGBP,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,2,2
1,Control,1_1,1,RWGP,WYBW,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,2,4
1,Control,1_1,1,PGRR,YPWY,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,1,3
1,Control,1_1,1,PGRR,YPGW,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,1,4
1,Control,1_1,1,GGRP,RGYW,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,1,2
1,Control,1_1,1,BPRR,BWRY,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,1,3
1,Control,1_1,1,WWPG,YPWY,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,1,3
1,Control,1_1,1,RWGP,GGRP,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,2,4
1,Control,1_1,1,BPWW,RWGP,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,3,4
1,Control,1_1,1,WYBW,YPWY,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,4,3
1,Control,1_1,1,WGRY,PPPY,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,2,1
1,Control,1_1,1,RBYY,BPGG,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,4,3
1,Control,1_1,1,WGRY,RWGP,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,2,4
1,Control,1_1,1,RBYY,BGWY,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,4,2
1,Control,1_1,1,SAME,BWRY,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,4,3
1,Control,1_1,2,BWRY,RWGP,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,4
1,Control,1_1,2,RBYY,WRYP,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,4
1,Control,1_1,2,RBYY,RWBW,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,4
1,Control,1_1,2,BPBB,PGRR,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4
1,Control,1_1,2,BPBB,RYGG,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,3
1,Control,1_1,2,BPBB,PBPR,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,4,1
1,Control,1_1,2,RWBW,WRWG,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,3,3
1,Control,1_1,2,BPBB,RGBP,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,4,2
1,Control,1_1,2,SAME,YPGW,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,4,4
1,Control,1_1,2,PBPR,WRYP,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,4,4
1,Control,1_1,2,BWRY,RBYY,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,4,4
1,Control,1_1,2,BYYB,BPRR,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,1,4
1,Control,1_1,2,WYBW,PGRR,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,4,4
1,Control,1_1,2,PBPR,GGRP,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,4,4
1,Control,1_1,2,WYBW,BPRR,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,4,4
1,Control,1_1,2,BPBB,WRWG,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,4,3
1,Control,1_1,2,WYBW,RBYY,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,4,4
1,Control,1_1,2,RYGG,PWRP,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,4,4
1,Control,1_1,2,WYBW,RBYY,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,4,4
1,Control,1_1,2,BPBB,YPWY,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,4,3
1,Control,1_1,2,BPWW,YPGW,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,3,4
1,Control,1_1,2,WYBW,YPWY,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,4,3
1,Control,1_1,2,RYGG,RGBP,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,4,2
1,Control,1_1,2,BPBB,RWGP,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,4,4
1,Control,1_1,2,WYBW,YPWY,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,4,3
1,Control,1_1,2,BPWW,BPGG,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,3,3
1,Control,1_1,2,BPBB,YPGW,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,4,4
1,Control,1_1,2,RYGG,BYYB,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,4,3
1,Control,1_1,2,PBPR,WRGB,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,4,3
1,Control,1_1,2,WYBW,YBWR,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,4,2
1,Control,1_1,2,BPWW,WRGB,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,3,3
1,Control,1_1,2,BPBB,WBBP,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,4,2
1,Control,1_1,2,RYGG,RGYW,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,4,2
1,Control,1_1,2,WYBW,YRRY,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,4,1
1,Control,1_1,2,BPWW,RGBP,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,3,2
1,Control,1_1,2,BPGG,BYYB,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,3,3
1,Control,1_1,2,BPWW,RGBP,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,3,2
1,Control,1_1,2,BPBB,RWGP,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,4,4
1,Control,1_1,2,RYGG,WYBW,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,4,4
1,Control,1_1,2,BPGG,WRWG,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,3,3
1,Control,1_1,2,BPBB,RGYW,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,4,2
1,Control,1_1,2,RYGG,WBBP,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,4,2
1,Control,1_1,2,WYBW,RBYY,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,4,4
1,Control,1_1,2,BPBB,GGRP,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,4,4
1,Control,1_1,2,RYGG,YPWY,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,4,3
1,Control,1_1,2,BPGG,YPGW,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,3,4
1,Control,1_1,2,BPBB,WPWB,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,4,1
1,Control,1_1,2,PBPR,RBYY,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,4,4
1,Control,1_1,2,BPBB,RWGP,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,4,4
1,Control,1_1,2,PBPR,RBYY,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,4,4
1,Control,1_1,2,PBPR,YPGW,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,4,4
1,Control,1_1,3,BPBB,RWGP,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,4
1,Control,1_1,3,BPBB,YPGW,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,4
1,Control,1_1,3,PBPR,WWPG,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,3
1,Control,1_1,3,WYBW,GGRP,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4
1,Control,1_1,3,BPBB,RWBW,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,4
1,Control,1_1,3,WYBW,PWBB,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,4,2
1,Control,1_1,3,SAME,PYGP,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,4,2
1,Control,1_1,3,PBPR,BPRR,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,4,4
1,Control,1_1,3,YPGW,WWPG,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,2,3
1,Control,1_1,3,BPGG,BPBB,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,3,2
1,Control,1_1,3,BPGG,WRWG,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,3,3
1,Control,1_1,3,YPGW,BWRY,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,2,3
1,Control,1_1,3,RBYY,WWPG,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,4,3
1,Control,1_1,3,BPBB,WYBW,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,4,4
1,Control,1_1,3,BPGG,BPRR,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,3,4
1,Control,1_1,3,YPGW,WRYP,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,2,4
1,Control,1_1,3,RBYY,RWBW,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,4,4
1,Control,1_1,3,BPGG,BPRR,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,3,4
