Colony Treatment Time Ant Behavior LocationOrigin SourceDestination
3004 4 0:00:00 OldUncoded Open old 
3004 4 0:28:52 **** TB mediocre old?
3004 4 0:28:57 **** TBO mediocre ?
3004 4 0:30:35 GP** E mediocre 
3004 4 0:31:25 GP** L mediocre 
3004 4 1:11:32 PG*G E mediocre 
3004 4 1:13:27 PG*G L mediocre 
3004 4 1:28:31 PG*G E mediocre 
3004 4 1:29:20 PG*G L mediocre 
3004 4 1:48:25 PG*G E mediocre 
3004 4 1:50:21 PG*G L mediocre 
3004 4 1:54:25 POOB E mediocre 
3004 4 1:58:15 POOB L mediocre 
3004 4 2:04:45 **** E mediocre 
3004 4 2:04:45 GP** E mediocre 
3004 4 2:06:12 GP** L mediocre 
3004 4 2:06:44 **** L mediocre 
3004 4 2:13:59 GY**(1) E mediocre 
3004 4 2:15:25 GY**(1) L mediocre 
3004 4 2:17:41 GY**(1) E mediocre 
3004 4 2:20:37 GY**(1) L mediocre 
3004 4 2:33:44 POOB E mediocre 
3004 4 2:34:07 POOB L mediocre 
3004 4 2:36:18 GP** E mediocre 
3004 4 2:36:49 GP** L mediocre 
3004 4 2:51:18 *OPB E mediocre 
3004 4 2:54:59 *OPB L mediocre 
3004 4 2:55:06 *OPB E mediocre 
3004 4 2:55:36 P*B* E mediocre 
3004 4 2:57:15 *OPB L mediocre 
3004 4 3:00:28 OBBP E mediocre 
3004 4 3:00:30 GY**(2) E mediocre 
3004 4 3:00:44 GOBW E mediocre 
3004 4 3:01:05 GP** E mediocre 
3004 4 3:01:43 GP** L mediocre 
3004 4 3:01:50 GP** E mediocre 
3004 4 3:01:58 *OPB E mediocre 
3004 4 3:04:15 *OPB BCO mediocre ?
3004 4 3:04:15 GP** TAO mediocre ?
3004 4 3:12:07 GY**(2) L mediocre 
3004 4 3:12:29 P*B* L mediocre 
3004 4 3:12:32 P*B* E mediocre 
3004 4 3:13:55 P*B* L mediocre 
3004 4 3:15:02 GP** E mediocre 
3004 4 3:18:23 GOBW BCO mediocre ?
3004 4 3:18:23 GP** TAO mediocre ?
3004 4 3:20:59 GY**(1) E good 
3004 4 3:21:16 GY**(1) L good 
3004 4 3:24:29 GP** E mediocre 
