Genus,Species,"Detailed Foraging Type; 0=Solitary, 1=tandem behavior, 2=mass recruitment, 3=group recruitment, 4=group hunting/raiding, 5=trunk trails/long-term trail network [See Table 1 for Definitions & Reduced Parameters]"
Acanthognathus,ocellatus,0
Acanthognathus,rudis,0
Acanthomyrmex,ferox,0
Acanthomyrmex,notabilis,0
Acanthostichus,kirbyi,4
Acanthostichus,laticornis,4
Acanthostichus,truncatus,4
Acromyrmex,coronatus,5
Acromyrmex,crassispinus,5
Acromyrmex,disciger,5
Acromyrmex,fracticornis,0
Acromyrmex,hispidus,5
Acromyrmex,laticeps,5
Acromyrmex,lobicornis,5
Acromyrmex,niger,5
Acromyrmex,pubescens,5
Acromyrmex,rugosus,?
Acromyrmex,subterraneus,5
Acromyrmex,volcanus,?
Acromyrmex_GroupA,striatus,5
Acromyrmex_GroupB,ambiguus,5
Acromyrmex_GroupB,balzani,0
Acromyrmex_GroupB,heyeri,5
Acromyrmex_GroupB,lundii,5
Acromyrmex_GroupB,octospinosus,5
Acromyrmex_GroupB,versicolor,0&5
Aenictus,aratus,4
Aenictus,decolor,?
Aenictus,eugenii,?
Aenictus,gracilis,4
Aenictus,hodgsoni,?
Aenictus,laeviceps,4
Allomerus,decemarticulatus,3
Amblyopone,australis,3
Amblyopone,longidens,3
Aneuretus,simoni,0&2
Anochetus,kempfi,0
Anochetus,traegaordhi,0
Anonychomyrma,biconvexa,5
Anoplolepis,custodiens,2
Anoplolepis,gracilipes,2
Anoplolepis,tenella,2
Aphaenogaster,iberica,0
Aphaenogaster,longiceps,0
Aphaenogaster_GroupB,araneoides,0
Aphaenogaster_GroupD,senilis,0&3
Aphaenogaster_GroupE,rudis,3
Apterostigma,collare,5
Apterostigma,megacephala,0
Aretidris,buenaventei,0
Aretidris,clousei,0
Atopomyrmex,mocquerysi,5
Atta,bisphaerica,5
Atta,capiguara,5
Atta,cephalotes,5
Atta,colombica,5
Atta,insularis,5
Atta,laevigata,5
Atta,mexicana,5
Atta,opaciceps,5
Atta,saltensis,5
Atta,sexdens,5
Atta,texana,5
Atta,vollenweideri,5
Azteca,alfari,5
Azteca,bequaerti,5 or 2?
Azteca,chartifex,5 or 2?
Azteca,lanuginosa,5
Azteca,ovaticeps,5 or 2?
Azteca,trigona,5
Azteca,velox,5
Basiceros,manni,0
Basiceros,singularis,0
Belonopelta,deletrix,0
Blepharidatta,conops,0&2
Bothroponera,pachyderma,0&1
Bothroponera,tesserinoda,1
Brachymyrmex,obscurior,?
Brachymyrmex,patagonicus,2
Brachyponera,chinensis,1
Brachyponera,senaarensis,0&1
Buniapone,amblyops,2
Calomyrmex,sp.,0
Calyptomyrmex,sp.,0&3
Camponotus,aethiops,0
Camponotus,arminius,5
Camponotus,cruentatus,5
Camponotus,detritus,?
Camponotus,femoratus,2
Camponotus,mus,?
Camponotus,sericeiventris,?
Camponotus,socius,1
Camponotus,sylvaticus,?
Camponotus,sericeus,0&1
Camponotus,modoc,5
Camponotus,pennsylvanicus,5
Cardiocondyla,emeryi,0
Cardiocondyla,mauritanica,1
Cardiocondyla,minutior,1
Cardiocondyla,nuda,0
Cardiocondyla,venustula,1
Carebara,diversus,4&5
Carebara,overbecki,5
Carebara,silenus,4
Carebara,urichi,5
Cataglyphis,bicolor,0
Cataglyphis,bombycina,0
Cataglyphis,cursor,0
Cataglyphis,floricola,0&2
Cataglyphis,fortis,0
Cataglyphis,savignyi,0
Cataglyphis,velox,0
Cataulacus,guineensis,5
Centromyrmex,bequaerti,0&3
Cephalotes,atratus,5
Cephalotes,depressus,?
Cephalotes,goniodontus,5
Cephalotes,persimilis,?
Cephalotes,pusillus,5
Cephalotes,varians,5
Cheliomyrmex,andicola,4
Cladomyrma,maschwitzi,2
Colobopsis,truncata,0
Crematogaster ,ashmeadi,5
Crematogaster ,difformis,?
Crematogaster ,opuntiae,5
Crematogaster ,peringueyi,?
Crematogaster ,pygmaea,?
Crematogaster ,scutellaris,5
Crematogaster ,sumicrasti,2
Crematogaster ,torosa,5
Cyatta,abscondita,0
Cylindromyrmex,whymperi,4
Cyphomyrmex,rimosus,0
Daceton,armigerum,2&3
Diacamma,rugosum,0
Diacamma,sculpturatum,0
Dilobocondyla,bangalorica,0
Dinomyrmex,gigas,5
Dinoponera,australis,0
Dinoponera,gigantea,0
Dinoponera,quadriceps,0
Discothyrea,kamiteta,0
Dolichoderus,cuspidatus,?
Dolichoderus,mariae,5
Dolichoderus,sulcaticeps,5
Dolichoderus,taschenbergi,5
Dolichoderus,thoracicus,5
Dorylus,gribodoi,4
Dorylus,laevigatus,4
Dorylus,nigricans,4
Dorylus,vishnui,4
Dorylus,wilverthi,4
Dorymyrmex,antarcticus,3
Dorymyrmex,bicornis,2
Dorymyrmex,goetschi,3
Dorymyrmex,insanus,3
Echinopla,melanarctos,3
Eciton,burchellii,4
Eciton,dulcium,4
Eciton,hamatum,4
Eciton,mexicanum,4
Eciton,rapax,4
Eciton,vagans,4
Ectatomma,brunneum,0
Ectatomma,opaciventre,0
Ectatomma,ruidum,0&3
Ectatomma,tuberculatum,0&3
Ectomomyrmex,javanus,0
Euponera,sakishimensis,0
Euprenolepis,procera,2
Eurhopalothrix_GroupA,biroi,0
Eurhopalothrix_GroupB,heliscata,0&2
Eurhopalothrix_GroupC,,0&2
Eutetramorium,mocquerysi ,2
Forelius,mccooki,5
Forelius,pruinosus,5
Formica,aquilonia,5
Formica,bruni,2
Formica,cinerea,0&5
Formica,exsecta,5
Formica,fusca,3
Formica,integroides,0&?
Formica,lugubris,5
Formica,obscuripes,5
Formica,oreas,3
Formica,pallidefulva,3
Formica,planipilis,5
Formica,podzolica,0&2
Formica,polyctena,5
Formica,pratensis,5
Formica,rufa,5
Formica,sanguinea,?
Formica,xerophila,5
Formica,yessensis,5
Gigantiops,destructor,0
Gnamptogenys,cribrata,0&2
Gnamptogenys,coxale,0
Gnamptogenys,horni,2
Gnamptogenys,menadensis,0&5
Gnamptogenys,moelleri,0&2
Gnamptogenys,striatula,0&2
Gnamptogenys,sulcata,0&2
Goniomma,blanci,0
Goniomma,compressisquama,0
Hagensia,havilandi,0&1
Harpegnathos,saltator,0
Huberia,striata,2?
Hypoponera,sp,0
Iridomyrmex,conifer,5
Iridomyrmex,purpureus,5
Iridomyrmex,reburrus,?
Iridomyrmex,sanguineus,5
Iridomyrmex,viridiaeneus,5
Labidus,coecus,4
Labidus,mars,4
Labidus,praedator,4
Labidus,spininodis,4
Lachnomyrmex,grandis,0
Lachnomyrmex,plaumanni,0
Lachnomyrmex,victori,0
Lasius,fuliginosus,2&5
Lasius,japonicus,5
Lasius,neoniger,0&2&5
Lasius,niger,2
Lasius,nipponensis,5
Lasius,pallitarsis,?
Leptanilla,japonica,5
Leptanilloides,sp.,4
Leptogenys,attenuata,0&3
Leptogenys,bubastis,0&3
Leptogenys,camerunensis,0&3
Leptogenys,chinensis,0&3
Leptogenys,diminuta,3
Leptogenys,elongata,3
