position,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5
0,988.1735071,600.5714286,993.1428571,592.7142857,1001.004686,633.4727497,1026.94775,608.7430641,1019.321578,597.0633785,1005.701397,606.823469
1,987.7647059,600.5294118,993.8888889,592.8333333,1001.004686,633.4727497,1026.94775,608.7430641,1019.321578,597.0633785,1005.701397,606.823469
2,986.8421053,601.3157895,993.7222222,593.1666667,1001.004686,633.4727497,1026.94775,608.7430641,1019.321578,597.0633785,1005.701397,606.823469
3,986.1176471,601.3529412,993.6,593.15,1001.004686,633.4727497,1026.94775,608.7430641,1019.321578,597.0633785,1005.701397,606.823469
4,986.1875,601.1875,993.75,593.25,1001.004686,633.4727497,1026.94775,608.7430641,1019.321578,597.0633785,1005.701397,606.823469
5,985.7368421,601.5789474,993.25,593.625,1001.004686,633.4727497,1026.94775,608.7430641,1019.321578,597.0633785,1005.701397,606.823469
6,985.5,602.0,992.8823529,593.7058824,1001.004686,633.4727497,1026.94775,608.7430641,1019.321578,597.0633785,1005.701397,606.823469
7,985.5,601.6428571,992.7222222,594.0555556,1001.004686,633.4727497,1026.94775,608.7430641,1019.321578,597.0633785,1005.701397,606.823469
8,985.1111111,601.8333333,992.6315789,594.0526316,1001.004686,633.4727497,1026.94775,608.7430641,1019.321578,597.0633785,1005.701397,606.823469
9,984.0,602.4117647,992.1578947,594.4210526,1001.004686,633.4727497,1026.94775,608.7430641,1019.321578,597.0633785,1005.701397,606.823469
10,984.2941176,602.2352941,992.2222222,594.4444444,1001.004686,633.4727497,1026.94775,608.7430641,1019.321578,597.0633785,1005.701397,606.823469
11,983.3888889,602.7777778,991.5555556,595.1111111,1001.004686,633.4727497,1026.94775,608.7430641,1019.321578,597.0633785,1005.701397,606.823469
12,983.2941176,602.5882353,991.2222222,595.6111111,1001.004686,633.4727497,1026.94775,608.7430641,1019.321578,597.0633785,1005.701397,606.823469
13,982.8888889,602.6111111,991.2222222,595.6111111,1001.004686,633.4727497,1026.94775,608.7430641,1019.321578,597.0633785,1005.701397,606.823469
14,982.2941176,602.5882353,990.9375,595.875,1001.004686,633.4727497,1026.94775,608.7430641,1019.321578,597.0633785,1005.701397,606.823469
15,982.1111111,602.6111111,990.6875,596.375,1001.004686,633.4727497,1026.94775,608.7430641,1019.321578,597.0633785,1005.701397,606.823469
16,981.5,602.7222222,990.3076923,596.6923077,1001.004686,633.4727497,1026.94775,608.7430641,1019.321578,597.0633785,1005.701397,606.823469
17,980.5555556,602.7777778,990.1666667,596.9166667,1001.004686,633.4727497,1026.94775,608.7430641,1019.321578,597.0633785,1005.701397,606.823469
18,980.625,602.75,990.1666667,596.9166667,1001.004686,633.4727497,1026.94775,608.7430641,1019.321578,597.0633785,1005.701397,606.823469
19,979.6111111,603.1111111,990.0,597.2,1001.004686,633.4727497,1026.94775,608.7430641,1019.321578,597.0633785,1005.701397,606.823469
20,979.6111111,603.1111111,989.625,597.5625,1001.004686,633.4727497,1026.94775,608.7430641,1019.321578,597.0633785,1005.701397,606.823469
21,979.2777778,603.2777778,989.3076923,597.6923077,1001.004686,633.4727497,1026.94775,608.7430641,1019.321578,597.0633785,1005.701397,606.823469
22,978.2631579,603.5263158,988.6666667,598.3333333,1001.004686,633.4727497,1026.94775,608.7430641,1019.321578,597.0633785,1005.701397,606.823469
23,977.7,603.7,988.5,598.5,1001.004686,633.4727497,1026.94775,608.7430641,1019.321578,597.0633785,1005.701397,606.823469
24,976.9444444,603.8888889,988.2142857,598.8571429,1001.004686,633.4727497,1026.94775,608.7430641,1019.321578,597.0633785,1005.701397,606.823469
25,976.4117647,603.8823529,987.6470588,598.9411765,1001.004686,633.4727497,1026.94775,608.7430641,1019.321578,597.0633785,1005.701397,606.823469
