position,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7
0,978.6131621,476.470305,986.6033708,476.6988764,977.9044944,515.0505618,997.5,463,984.46476,522.8324821,982.3089888,498.1910112,990.5655431,533.2871411,997.5,466
1,980.3918838,475.793213,988.1200599,476.0632278,977.9044944,515.0505618,997.4917991,463.1163432,984.46476,522.8324821,989.5,489,990.5655431,533.2871411,997.4331856,466.31791
2,980.0914192,475.997333,987.9323793,475.9413246,977.9044944,515.0505618,997.4972672,463.1134179,984.46476,522.8324821,989.5,489,990.5655431,533.2871411,997.502961,466.0023607
3,979.893857,475.9953174,987.9169123,475.9438697,977.9044944,515.0505618,997.4989669,463.0772138,984.46476,522.8324821,989.5,489,990.5655431,533.2871411,997.5010665,465.9687439
4,978.7780299,476.2055777,987.0423375,476.0689345,977.9044944,515.0505618,997.4999155,463.0573399,984.46476,522.8324821,989.5,490,990.5655431,533.2871411,997.5000849,465.949386
5,978.1046506,476.4440624,986.3782037,475.995758,977.9044944,515.0505618,997.0853462,463.3825636,984.46476,522.8324821,989.4,490.0666667,990.5655431,533.2871411,997.5330197,465.879202
6,978.293839,476.4708715,986.3498748,475.98569,977.9044944,515.0505618,997.5480225,463.3400172,984.46476,522.8324821,989.2941176,490.4117647,990.5655431,533.2871411,997.1206945,466.4652602
7,977.3556765,476.7134016,985.5386592,476.0477489,977.9044944,515.0505618,997.5460415,463.2819186,984.46476,522.8324821,989.4666667,490.2666667,990.5655431,533.2871411,996.9021681,465.7344496
8,976.1547055,476.9399116,984.9907097,476.1497273,977.9044944,515.0505618,997.5497775,463.1276163,984.46476,522.8324821,989.2941176,490.4117647,990.5655431,533.2871411,997.0651899,465.8760475
9,975.5500866,476.9999814,984.852283,476.1790371,977.9044944,515.0505618,997.5599154,463.2255126,984.46476,522.8324821,989.4285714,490.5,990.5655431,533.2871411,996.9233028,465.9383335
10,975.2926312,476.9990594,984.1121878,476.2711643,977.9044944,515.0505618,997.5530686,463.2847761,984.46476,522.8324821,989.4,491.0666667,990.5655431,533.2871411,996.9088258,465.9770893
11,975.2521066,477.0552986,984.1048194,476.2722222,977.9044944,515.0505618,997.5591577,463.2332472,984.46476,522.8324821,989.4,491.0666667,990.5655431,533.2871411,996.9213479,465.943437
12,974.5318385,477.045827,983.4616345,476.3754165,977.9044944,515.0505618,996.9907658,463.1171662,984.46476,522.8324821,989.375,491.3125,990.5655431,533.2871411,996.566399,466.3029679
13,974.2903689,477.1055246,982.9693801,476.5041572,977.9044944,515.0505618,996,464.3272312,984.46476,522.8324821,989.375,491.75,990.5655431,533.2871411,996,465.7930686
14,973.2020557,476.9466957,982.2546419,476.4687202,977.9044944,515.0505618,996,464.4232239,984.46476,522.8324821,989.4666667,491.7333333,990.5655431,533.2871411,996,465.8232154
15,972.2531566,476.9991502,981.2659421,476.4675943,977.9044944,515.0505618,996,464.4232239,984.46476,522.8324821,989.5,492,990.5655431,533.2871411,996,465.8232154
16,972.0354577,477.0474004,981.2503574,476.4690649,977.9044944,515.0505618,996,464.4232239,984.46476,522.8324821,989.5,492,990.5655431,533.2871411,996,465.8232154
