position,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,,,,,,,,,,,,
0,1091.898876,13.5,1093.297753,6.297752809,1119.597378,8.732209738,1106.280899,11.75,1121.329588,12.62546816,1119.430712,13.53558052,,,,,,,,,,,,
1,1090.92857,13.85715047,1091.3,6.900029269,1119.597378,8.732209738,1106.280899,11.75,1121.329588,12.62546816,1119.430712,13.53558052,,,,,,,,,,,,
2,1090.933339,14.06675835,1091.083317,7.083605967,1119.597378,8.732209738,1106.280899,11.75,1121.329588,12.62546816,1119.430712,13.53558052,,,,,,,,,,,,
3,1090.999698,14.50118848,1091.083683,7.08644635,1119.597378,8.732209738,1106.280899,11.75,1121.329588,12.62546816,1119.430712,13.53558052,,,,,,,,,,,,
4,1091.134505,14.82460737,1091.247307,8.117609867,1119.597378,8.732209738,1106.280899,11.75,1121.329588,12.62546816,1119.430712,13.53558052,,,,,,,,,,,,
5,1091.2,15.2,1091.181818,7.909090912,1119.597378,8.732209738,1075,2,1121.329588,12.62546816,1119.430712,13.53558052,,,,,,,,,,,,
6,1091.529802,15.17719886,1091.499461,8.168955977,1119.597378,8.732209738,1075.5,2,1121.329588,12.62546816,1119.430712,13.53558052,,,,,,,,,,,,
7,1092.200943,15.33528341,1091.363304,8.096493611,1119.597378,8.732209738,1075.333333,2.333333333,1121.329588,12.62546816,1119.430712,13.53558052,,,,,,,,,,,,
8,1092.491982,15.49403758,1091.136363,9.991030886,1119.597378,8.732209738,1074.8,2.4,1121.329588,12.62546816,1119.430712,13.53558052,,,,,,,,,,,,
9,1092.669578,15.5839299,1091.284517,9.647909526,1119.597378,8.732209738,1075,2.5,1121.329588,12.62546816,1119.430712,13.53558052,,,,,,,,,,,,
10,1093.413973,16.04656448,1091.70316,10.32409743,1119.597378,8.732209738,1074.8,2.4,1121.329588,12.62546816,1119.430712,13.53558052,,,,,,,,,,,,
11,1093.417053,16.04752705,1091.494161,10.3487422,1119.597378,8.732209738,1074.833333,2.666666667,1121.329588,12.62546816,1119.430712,13.53558052,,,,,,,,,,,,
12,1094.048998,16.53573181,1091.632157,10.83670782,1119.597378,8.732209738,1075,3,1121.329588,12.62546816,1119.430712,13.53558052,,,,,,,,,,,,
