Species		TandemRun	PixelPerMM	PixelPerAnt
temnothorax	H16T001R002	2.740124	7.174
temnothorax	H16T001R002	2.740124	6.346
temnothorax	H16T001R002	2.740124	6.241
temnothorax	H16T001R002	2.740124	6.568
temnothorax	H16T001R003	2.740124	5.831
temnothorax	H16T001R003	2.740124	6.403
temnothorax	H16T001R003	2.740124	6.256
temnothorax	H16T001R003	2.740124	7.032
temnothorax	H9T001R003	2.805461	8.028
temnothorax	H9T001R003	2.805461	7.502
temnothorax	H9T001R003	2.805461	7.769
temnothorax	H9T001R003	2.805461	7.546
temnothorax	H31T001R001	2.818133	8.062
temnothorax	H31T001R001	2.818133	7.766
temnothorax	H31T001R002	2.818133	8.004
temnothorax	H31T001R002	2.818133	7.653
temnothorax	H31T001R002	2.818133	6.374
temnothorax	H31T001R002	2.818133	7.814
temnothorax	H31T001R003	2.818133	6.103
temnothorax	H31T001R003	2.818133	5.618
temnothorax	H31T001R003	2.818133	5.858
temnothorax	H31T001R003	2.818133	6.500
temnothorax	H31T001R008	2.818133	8.750
temnothorax	H31T001R008	2.818133	7.267
temnothorax	H31T001R015	2.818133	6.566
temnothorax	H31T001R015	2.818133	6.342
temnothorax	H31T001R017	2.818133	7.696
temnothorax	H31T001R017	2.818133	5.897
temnothorax	H14T001R002	2.821987	5.831
temnothorax	H14T001R002	2.821987	7.115
temnothorax	H14T001R002	2.821987	5.426
temnothorax	H14T001R002	2.821987	6.660
temnothorax	H14T001R005	2.821987	7.000
temnothorax	H14T001R005	2.821987	5.154
temnothorax	H14T001R005	2.821987	7.000
temnothorax	H14T001R005	2.821987	7.002
temnothorax	H14T001R017	2.821987	6.000
temnothorax	H14T001R017	2.821987	6.009
temnothorax	H14T001R017	2.821987	5.000
temnothorax	H14T001R017	2.821987	6.727
temnothorax	H14T001R024	2.821987	6.000
temnothorax	H14T001R024	2.821987	5.900
temnothorax	H14T001R024	2.821987	6.149
temnothorax	H14T001R024	2.821987	5.590
temnothorax	H1T001R005	2.880648	5.831
temnothorax	H1T001R005	2.880648	6.841
temnothorax	H1T001R005	2.880648	5.755
temnothorax	H1T001R005	2.880648	7.302
temnothorax	H1T001R007	2.880648	5.270
temnothorax	H1T001R007	2.880648	7.674
temnothorax	H1T001R007	2.880648	6.741
temnothorax	H1T001R007	2.880648	7.157
temnothorax	H1T001R010	2.880648	6.865
temnothorax	H1T001R010	2.880648	7.722
temnothorax	H36T001R005	2.813377	6.175
temnothorax	H36T001R005	2.813377	7.018
temnothorax	H36T001R011	2.813377	5.518
temnothorax	H36T001R011	2.813377	6.009
temnothorax	H36T001R013	2.813377	6.227
temnothorax	H36T001R013	2.813377	5.667
temnothorax	H36T001R013	2.813377	6.010
temnothorax	H36T001R013	2.813377	6.088
coptotermes	170627_172_01	4.539114	39.131
coptotermes	170627_172_01	4.539114	37.513
coptotermes	170627_172_03	4.527731	40.215
coptotermes	170627_172_03	4.527731	37.316
coptotermes	170627_172_04	4.37769		38.451
coptotermes	170627_172_04	4.37769		37.363
coptotermes	170627_172_05	4.418228	39.601
coptotermes	170627_172_05	4.418228	36.770
coptotermes	170627_172_07	4.376545	40.401
coptotermes	170627_172_07	4.376545	36.705
coptotermes	170627_172_08	4.371983	37.964
coptotermes	170627_172_08	4.371983	36.500
coptotermes	170627_172_10	4.430312	38.823
coptotermes	170627_172_10	4.430312	39.778
coptotermes	170627_172_11	4.419592	40.327
coptotermes	170627_172_11	4.419592	39.147
coptotermes	170629_173_01	4.609444	42.644
coptotermes	170629_173_01	4.609444	40.525
coptotermes	170630_173_02	4.461386	42.190
coptotermes	170630_173_02	4.461386	41.335
coptotermes	170630_173_03	4.464708	41.231
coptotermes	170630_173_03	4.464708	38.079
coptotermes	170630_173_04	4.476753	40.746
coptotermes	170630_173_04	4.476753	41.319
coptotermes	170701_172_01	4.385278	38.059
coptotermes	170701_172_01	4.385278	35.532
coptotermes	170701_172_02	4.305222	38.030
coptotermes	170701_172_02	4.305222	37.583
coptotermes	170703_172_03	4.293556	40.503
coptotermes	170703_172_03	4.293556	39.702
coptotermes	170703_172_04	3.789695	35.588
coptotermes	170703_172_04	3.789695	37.165
coptotermes	170703_172_06	4.204983	39.699
coptotermes	170703_172_06	4.204983	36.459
reticulitermes	170518_168_01	4.434651	28.535
reticulitermes	170518_168_01	4.434651	27.874
reticulitermes	170518_168_02	4.559585	25.721
reticulitermes	170518_168_02	4.559585	27.101
reticulitermes	170518_168_03	4.388418	24.113
reticulitermes	170518_168_03	4.388418	23.343
reticulitermes	170521_164_01	4.436477	24.553
reticulitermes	170521_164_01	4.436477	24.336
reticulitermes	170521_164_04	4.374294	24.079
